"ASV"	"Domain"	"Supergroup"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV192"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	NA	NA
"ASV193"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Saccharomycetaceae"	"Kluyveromyces"	"Kluyveromyces_nonfermentans"
"ASV194"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Tremellaceae"	"Cryptococcus"	NA
"ASV195"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Onygenales"	NA	NA	NA
"ASV196"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Trechisporales"	NA	NA	NA
"ASV197"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	NA	"Candida"	"Candida_sake"
"ASV198"	"Eukaryota"	"SAR"	"Rhizaria"	"Cercozoa"	NA	NA	NA	NA	NA
"ASV199"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	NA	NA	NA	NA	NA
"ASV200"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	NA	NA	NA	NA	NA
"ASV201"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	NA	NA	NA	NA
"ASV202"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	NA	NA	NA	NA	NA
"ASV203"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	NA	NA	NA
"ASV204"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Coprinellus"	NA
"ASV205"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Coprinellus"	"Coprinellus_micaceus"
"ASV206"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Coprinellus"	NA
"ASV207"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Boletales"	"Rhizopogonaceae"	"Rhizopogon"	NA
"ASV208"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	NA	NA	NA	NA
"ASV209"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_sideris"
"ASV210"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Polyporales"	"Phanerochaetaceae"	"Hyphodermella"	"Hyphodermella_rosae"
"ASV211"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
